Attrition,DistanceFromHome,EmployeeNumber,WorkLifeBalance,YearsSinceLastPromotion,YearsWithCurrManager,OverTime,PercentSalaryHike,StandardHours,Employee Last Date,Attrition Month
No,2,3326,2,1,9,No,17,80,,
No,2,3327,2,1,9,No,17,80,,
No,2,3328,2,1,9,No,17,80,,
No,2,3332,2,1,9,No,17,80,,
No,10,3333,4,2,0,Yes,17,80,,
No,10,3335,4,2,0,Yes,17,80,,
No,10,3336,4,2,0,Yes,17,,,
No,10,3340,4,2,0,Yes,17,80,,
No,10,3341,4,2,0,Yes,17,80,,
No,10,3343,4,2,0,Yes,17,80,,
No,10,3344,4,2,0,Yes,17,80,,
No,10,3510,4,2,0,Yes,17,80,,
No,2,3512,4,3,7,Yes,15,80,,
No,2,3515,4,3,7,Yes,15,80,,
No,2,3516,4,3,7,Yes,15,80,,
No,2,3518,4,3,7,Yes,15,80,,
No,2,3520,4,3,7,Yes,15,80,,
No,2,3523,4,3,7,Yes,15,80,,
No,2,3524,4,3,7,Yes,15,80,,
No,2,3606,4,3,7,Yes,15,80,,
No,21,3607,3,0,4,Yes,11,80,,
No,21,3609,3,0,4,Yes,11,80,,
No,21,3610,3,0,4,Yes,11,80,,
No,21,3614,3,0,4,Yes,11,80,,
No,21,3615,3,0,4,Yes,11,80,,
No,21,3617,3,0,4,Yes,11,80,,
No,21,3618,3,0,4,Yes,11,80,,
No,21,3718,3,0,4,Yes,11,80,,
No,1,3720,4,3,7,No,16,80,,
No,1,3723,4,3,7,No,16,80,,
No,1,3724,4,3,7,No,16,80,,
No,1,3726,4,3,7,No,16,80,,
No,1,3728,4,3,7,No,16,80,,
No,1,3731,4,3,7,No,16,80,,
No,1,3732,4,3,7,No,16,80,,
No,1,4037,4,3,7,No,16,80,,
No,1,4039,3,4,1,No,14,80,,
No,1,4043,3,4,1,No,14,80,,
No,1,4044,3,4,1,No,14,80,,
No,1,4045,3,4,1,No,14,80,,
No,1,4047,3,4,1,No,14,80,,
No,1,4051,3,4,1,No,14,80,,
No,1,4052,3,4,1,No,14,80,,
No,1,4118,3,4,1,No,14,80,,
No,2,4119,3,5,9,No,13,80,,
No,2,4123,3,5,9,No,13,80,,
No,2,4124,3,5,9,No,13,80,,
No,2,4126,3,5,9,No,13,80,,
No,2,4127,3,5,9,No,13,80,,
No,2,4131,3,5,9,No,13,80,,
No,2,4132,3,1,2,No,12,80,,
No,2,4182,3,5,9,No,13,80,,
No,8,4183,3,1,5,No,19,80,,
No,8,4185,3,1,5,No,19,80,,
No,8,4186,3,1,5,No,19,80,,
No,8,4190,3,1,5,No,19,80,,
No,8,4191,3,1,5,No,19,80,,
No,8,4193,3,1,5,No,19,80,,
No,8,4194,3,1,5,No,19,80,,
No,8,4261,3,1,5,No,19,80,,
No,1,4263,3,7,8,Yes,11,80,,
No,1,4264,3,7,8,Yes,11,80,,
No,1,4265,3,7,8,Yes,11,80,,
No,1,4269,3,7,8,Yes,11,80,,
No,1,4271,3,7,8,Yes,11,80,,
No,1,4272,3,7,8,Yes,11,80,,
No,1,4273,3,7,8,Yes,11,80,,
No,1,4491,3,7,8,Yes,11,80,,
No,8,4493,3,7,5,No,18,80,,
No,8,4494,3,7,5,No,18,80,,
No,8,4495,3,7,5,No,18,80,,
No,8,4499,3,7,5,No,18,80,,
No,8,4501,3,7,5,No,18,80,,
No,8,4502,3,7,5,No,18,80,,
No,8,4503,3,7,5,No,18,80,,
No,8,4930,3,7,5,No,18,80,,
No,16,4932,3,0,2,Yes,18,80,,
No,16,4935,3,0,2,Yes,18,80,,
No,16,4936,3,0,2,Yes,18,80,,
No,16,4938,3,0,2,Yes,18,80,,
No,16,4940,3,0,2,Yes,18,80,,
No,16,4943,3,0,2,Yes,18,80,,
No,16,4944,3,0,2,Yes,18,80,,
No,16,5499,3,0,2,Yes,18,80,,
No,10,5501,2,7,7,No,11,80,,
No,10,5504,2,7,7,No,11,80,,
No,10,5505,2,7,7,No,11,80,,
No,10,5507,2,7,7,No,11,80,,
No,10,5509,2,7,7,No,11,80,,
No,10,5512,2,7,7,No,11,80,,
No,10,5513,2,7,7,No,11,80,,
No,10,5655,2,7,7,No,11,80,,
No,10,5657,3,0,7,No,18,80,,
No,10,5660,3,0,7,No,18,80,,
No,10,5661,3,0,7,No,18,80,,
No,10,5663,3,0,7,No,18,80,,
No,10,5665,3,0,7,No,18,80,,
No,10,5668,3,0,7,No,18,80,,
No,10,5669,3,0,7,No,18,80,,
No,10,5703,3,0,7,No,18,80,,
No,3,5704,2,0,2,No,14,80,,
No,3,5706,2,0,2,No,14,80,,
No,3,5707,2,0,2,No,14,80,,
No,3,5711,2,0,2,No,14,80,,
No,3,5712,2,0,2,No,14,80,,
No,3,5714,2,0,2,No,14,80,,
No,3,5715,2,0,2,No,14,80,,
No,3,5861,2,0,2,No,14,80,,
No,3,5862,1,0,0,No,21,80,,
No,3,5866,1,0,0,No,21,80,,
No,3,5867,1,0,0,No,21,80,,
No,3,5869,1,0,0,No,21,80,,
No,3,5870,1,0,0,No,21,80,,
No,3,5874,1,0,0,No,21,80,,
No,3,5875,1,0,0,No,21,80,,
No,3,5940,1,0,0,No,21,80,,
No,2,5941,2,2,2,No,24,80,,
No,2,5943,2,2,2,No,24,80,,
No,2,5944,2,2,2,No,24,80,,
No,2,5948,2,2,2,No,24,80,,
No,2,5949,2,2,2,No,24,80,,
No,2,5951,2,2,2,No,24,80,,
No,2,5952,2,2,2,No,24,80,,
No,2,6356,2,2,2,No,24,80,,
No,9,6359,3,1,3,No,15,80,,
No,9,6360,3,1,3,No,15,80,,
No,9,6363,3,1,3,No,15,80,,
No,9,6366,3,1,3,No,15,80,,
No,9,6367,3,1,3,No,15,80,,
No,9,6368,3,1,3,No,15,80,,
No,9,6579,3,1,3,No,15,80,,
No,9,6581,3,1,3,No,15,80,,
No,4,6582,3,1,2,No,15,80,,
No,4,6583,3,1,2,No,15,80,,
No,4,6587,3,1,2,No,15,80,,
No,4,6589,3,1,2,No,15,80,,
No,4,6590,3,1,2,No,15,80,,
No,4,6591,3,0,7,No,16,80,,
No,4,6837,3,1,2,No,15,80,,
No,11,6838,2,0,2,No,21,80,,
No,11,6840,2,0,2,No,21,80,,
No,11,6841,2,0,2,No,21,80,,
No,11,6844,2,0,2,No,21,80,,
No,11,6845,2,0,2,No,21,80,,
No,11,6847,2,0,2,No,21,80,,
No,11,6848,2,0,2,No,21,80,,
No,11,6954,2,0,2,No,21,80,,
No,9,6956,2,0,0,No,12,80,,
No,9,6960,2,0,0,No,12,80,,
No,9,6961,2,0,0,No,12,80,,
No,9,6963,2,0,0,No,12,80,,
No,9,6967,2,0,0,No,12,80,,
No,9,6968,2,0,0,No,12,80,,
No,9,7285,2,0,0,No,12,80,,
No,9,7286,2,0,0,No,12,80,,
No,2,7290,3,5,7,No,12,80,,
No,2,7291,3,5,7,No,12,80,,
No,2,7293,3,5,7,No,12,80,,
No,2,7294,3,5,7,No,12,80,,
No,2,7298,3,5,7,No,12,80,,
No,2,7299,3,1,4,No,20,80,,
No,2,7420,3,5,7,No,12,80,,
No,1,7423,2,1,0,Yes,11,80,,
No,1,7424,2,1,0,Yes,11,80,,
No,1,7425,2,1,0,Yes,11,80,,
No,1,7428,2,1,0,Yes,11,80,,
No,1,7430,2,1,0,Yes,11,80,,
No,1,7431,2,1,0,Yes,11,80,,
No,1,7432,2,1,0,Yes,11,80,,
No,1,7714,2,1,0,Yes,11,80,,
No,21,7716,3,5,7,No,12,80,,
No,21,7718,3,5,7,No,12,80,,
No,21,7719,3,5,7,No,12,80,,
No,21,7723,3,5,7,No,12,80,,
No,21,7725,3,5,7,No,12,80,,
No,21,7726,3,5,7,No,12,80,,
No,21,7881,2,0,0,No,19,80,,
No,21,7883,3,5,7,No,12,80,,
No,1,7884,3,1,3,Yes,13,80,,
No,1,7885,3,1,3,Yes,13,80,,
No,1,7889,3,1,3,Yes,13,80,,
No,1,7891,3,1,3,Yes,13,80,,
No,1,7892,3,1,3,Yes,13,80,,
No,1,7893,4,0,0,Yes,13,80,,
No,1,7911,3,1,3,Yes,13,80,,
No,1,7913,1,0,2,No,11,80,,
No,1,7915,1,0,2,No,11,80,,
No,1,7916,1,0,2,No,11,80,,
No,1,7919,1,0,2,No,11,80,,
No,1,7921,1,0,2,No,11,80,,
No,1,7923,1,0,2,No,11,80,,
No,1,7924,1,0,2,No,11,80,,
No,1,8055,1,0,2,No,11,80,,
No,14,8057,3,0,6,Yes,18,80,,
No,14,8059,3,0,6,Yes,18,80,,
No,14,8060,,0,6,Yes,18,80,,
No,14,8063,3,0,6,Yes,18,80,,
No,14,8065,3,0,6,Yes,18,80,,
No,14,8067,3,0,6,Yes,18,80,,
No,14,8068,3,7,7,No,13,80,,
No,14,8072,3,0,6,Yes,18,80,,
No,1,8073,2,8,8,No,12,80,,
No,1,8075,2,8,8,No,12,80,,
No,1,8076,2,8,8,No,,80,,
No,1,8080,2,8,8,No,12,80,,
No,1,8081,2,8,8,No,12,80,,
No,1,8083,2,8,8,No,12,80,,
No,1,8084,4,0,0,Yes,25,80,,
No,1,8263,2,8,8,No,12,80,,
No,10,8264,3,0,0,No,14,80,,
No,10,8268,3,0,0,No,14,80,,
No,10,8269,3,0,0,No,14,80,,
No,10,8271,3,0,0,No,14,80,,
No,10,8272,3,0,0,No,14,80,,
No,10,8276,3,0,0,No,14,80,,
No,10,8277,3,0,0,No,14,80,,
No,10,8389,3,0,0,No,14,80,,
No,3,8392,4,0,2,No,16,80,,
No,3,8393,4,0,2,No,16,80,,
No,3,8394,4,0,2,No,16,80,,
No,3,8397,4,0,2,No,16,80,,
No,3,8400,4,0,2,No,16,80,,
No,3,8401,4,0,2,No,16,80,,
No,3,8402,4,0,2,No,16,80,,
No,3,8513,4,0,2,No,16,80,,
No,9,8515,4,7,7,No,14,80,,
No,9,8518,4,7,7,No,14,80,,
No,9,8519,4,7,7,No,14,80,,
No,9,8523,4,7,7,No,14,80,,
No,9,8525,4,7,7,No,14,80,,
No,9,8528,4,7,7,No,14,80,,
No,9,8529,3,1,3,No,11,80,,
No,9,8823,4,7,7,No,14,80,,
No,19,8825,3,7,7,No,15,80,,
No,19,8829,3,7,7,No,15,80,,
No,19,8830,3,7,7,No,15,80,,
No,19,8831,3,7,7,No,15,80,,
No,19,8833,3,7,7,No,15,80,,
No,19,8837,3,7,7,No,15,80,,
No,19,8838,3,7,7,No,15,80,,
No,19,8871,3,7,7,No,15,80,,
No,8,8873,3,4,3,No,11,80,,
No,8,8874,3,4,3,No,11,80,,
No,8,8875,3,4,3,No,11,80,,
No,8,8879,3,4,3,No,11,80,,
No,8,8881,3,4,3,No,11,80,,
No,8,8882,3,4,3,No,11,80,,
No,8,8883,3,4,3,No,11,80,,
No,8,8903,3,4,3,No,11,80,,
No,10,8904,2,1,1,No,11,80,,
No,10,8908,2,1,1,No,11,80,,
No,10,8909,2,1,1,No,11,80,,
No,10,8911,2,1,1,No,11,80,,
No,10,8912,2,1,1,No,11,80,,
No,10,8916,2,1,1,No,11,80,,
No,10,8917,2,1,1,No,11,80,,
No,10,8995,2,1,1,No,11,80,,
No,3,8998,1,0,7,No,19,80,,
No,3,8999,1,0,7,No,19,80,,
No,3,9000,1,0,7,No,19,80,,
No,3,9003,1,0,7,No,19,80,,
No,3,9006,1,0,7,No,19,80,,
No,3,9007,1,0,7,No,19,80,,
No,3,9008,1,0,7,No,19,80,,
No,3,9105,1,0,7,No,19,80,,
No,8,9107,3,0,0,No,14,80,,
No,8,9109,3,0,0,No,14,80,,
No,8,9110,3,0,0,No,14,80,,
No,8,9113,3,0,0,No,14,80,,
No,8,9115,3,0,0,No,14,80,,
No,8,9117,3,0,0,No,14,80,,
No,8,9118,3,0,0,No,14,80,,
No,8,9222,3,0,0,No,14,80,,
No,2,9224,3,1,4,No,22,80,,
No,2,9228,3,1,4,No,22,80,,
No,2,9229,3,1,4,No,22,80,,
No,2,9230,3,1,4,No,22,80,,
No,2,9232,3,1,4,No,22,80,,
No,2,9236,3,1,4,No,22,80,,
No,2,9237,3,1,4,No,22,80,,
No,2,9300,3,1,4,No,22,80,,
No,1,6325,3,1,3,No,16,80,,
No,1,9304,3,1,3,No,16,80,,
No,1,9305,3,1,3,No,16,80,,
No,1,9308,3,1,3,No,16,80,,
No,1,9310,3,1,3,No,16,80,,
No,1,9312,3,1,3,No,16,80,,
No,1,9313,3,1,3,No,16,80,,
No,1,9364,3,1,3,No,16,80,,
No,2,9365,3,1,3,No,11,80,,
No,2,9366,3,1,3,No,11,80,,
No,2,9367,3,1,3,No,11,80,,
No,2,9368,3,1,3,No,11,80,,
No,2,9369,3,1,3,No,11,80,,
No,2,9370,3,1,3,No,11,80,,
No,2,9371,3,1,3,No,11,80,,
No,2,9372,3,1,3,No,11,80,,
No,8,9373,3,1,2,No,17,80,,
No,4,9374,3,1,2,No,17,80,,
No,4,9375,3,1,2,No,17,80,,
No,8,9376,3,1,2,No,17,80,,
No,8,9377,3,1,2,No,17,80,,
No,4,9379,3,1,2,No,17,80,,
No,4,9732,3,1,2,No,17,80,,
No,8,9734,3,1,2,No,17,80,,
No,8,9736,3,1,2,No,17,80,,
No,4,9737,3,1,2,No,17,80,,
No,4,9740,3,1,2,No,17,80,,
No,8,9742,3,1,2,No,17,80,,
No,8,9744,3,1,2,No,17,80,,
No,4,9745,3,1,2,No,17,80,,
No,4,9843,3,1,2,No,17,80,,
No,8,9846,3,1,2,No,17,80,,
No,16,9849,3,1,3,No,16,80,,
No,16,9850,3,1,3,No,16,80,,
No,16,9851,3,1,3,No,16,80,,
No,16,9854,3,1,3,No,16,80,,
No,16,9857,3,1,3,No,16,80,,
No,16,9858,3,1,3,No,16,80,,
No,16,10224,3,1,3,No,16,80,,
No,16,10226,3,1,3,No,16,80,,
No,3,10229,1,0,2,No,19,80,,
No,3,10230,1,0,2,No,19,80,,
No,3,10232,1,0,2,No,19,80,,
No,3,10234,1,0,2,No,19,80,,
No,3,10237,1,0,2,No,19,80,,
No,3,10238,1,0,2,No,19,80,,
No,3,10446,1,0,2,No,19,80,,
No,3,10448,1,0,2,No,19,80,,
No,23,10449,3,0,2,No,12,80,,
No,23,10450,3,0,2,No,12,80,,
No,23,10454,3,0,2,No,12,80,,
No,23,10456,3,0,2,No,12,80,,
No,23,10457,3,0,2,No,12,80,,
No,23,10458,3,0,2,No,12,80,,
No,23,10779,3,0,2,No,12,80,,
No,23,10781,3,0,2,No,12,80,,
No,2,10785,3,7,7,Yes,22,80,,
No,2,10786,3,7,7,Yes,22,80,,
No,2,10787,3,7,7,Yes,22,80,,
No,2,10789,3,7,7,Yes,22,80,,
No,2,10793,3,7,7,Yes,22,80,,
No,2,10794,3,7,7,Yes,22,80,,
No,2,10892,3,7,7,Yes,22,80,,
No,2,10893,3,7,7,Yes,22,80,,
No,10,10895,3,1,0,No,14,80,,
No,10,10896,3,1,0,No,14,80,,
No,10,10900,3,1,0,No,14,80,,
No,10,10901,3,1,0,No,14,80,,
No,10,10903,3,1,0,No,14,80,,
No,10,10904,3,1,0,No,14,80,,
No,10,11521,3,1,0,No,14,80,,
No,10,11522,3,1,0,No,14,80,,
No,4,11524,2,0,0,No,17,80,,
No,4,11525,2,0,0,No,17,80,,
No,4,11528,2,0,0,No,17,80,,
No,4,11529,2,0,0,No,17,80,,
No,4,11531,2,0,0,No,17,80,,
No,4,11532,2,0,0,No,17,80,,
No,4,11820,2,0,0,No,17,80,,
No,4,11822,2,0,0,No,17,80,,
No,1,11823,3,0,8,Yes,15,80,,
No,1,11824,3,0,8,Yes,15,80,,
No,1,11828,3,0,8,Yes,15,80,,
No,1,11830,3,0,8,Yes,15,80,,
No,1,11831,3,0,8,Yes,15,80,,
No,1,11832,3,0,8,Yes,15,80,,
No,1,12143,3,0,8,Yes,15,80,,
No,1,12145,3,0,8,Yes,15,80,,
No,2,12147,3,11,8,No,16,80,,
No,2,12148,3,11,8,No,16,80,,
No,2,12151,3,11,8,No,16,80,,
No,2,12153,3,11,8,No,16,80,,
No,2,12155,3,11,8,No,16,80,,
No,2,12156,3,11,8,No,16,80,,
No,2,12237,3,11,8,No,16,80,,
No,2,12240,3,11,8,No,16,80,,
No,1,12243,2,0,9,No,11,80,,
No,1,12244,2,0,9,No,11,80,,
No,1,12245,2,0,9,No,11,80,,
No,1,12248,2,0,9,No,11,80,,
No,1,12251,2,0,9,No,11,80,,
No,1,12252,2,0,9,No,11,80,,
No,1,12515,2,0,9,No,11,80,,
No,1,12516,2,0,9,No,11,80,,
No,10,12520,3,0,0,Yes,19,80,,
No,10,12521,3,0,0,Yes,19,80,,
No,10,12523,3,0,0,Yes,19,80,,
No,10,12524,3,0,0,Yes,19,80,,
No,10,12528,3,0,0,Yes,19,80,,
No,10,12529,3,0,0,Yes,19,80,,
No,10,12627,3,0,0,Yes,19,80,,
No,10,12629,3,0,0,Yes,19,80,,
No,1,12630,2,1,9,No,12,80,,
No,1,12631,2,1,9,No,12,80,,
No,1,12634,2,1,9,No,12,80,,
No,1,12636,2,1,9,No,12,80,,
No,1,12637,2,1,9,No,12,80,,
No,1,12638,2,1,9,No,12,80,,
No,1,12735,2,1,9,No,12,80,,
No,1,12737,2,1,9,No,12,80,,
No,28,12739,3,1,2,No,18,80,,
No,28,12740,3,1,2,No,18,80,,
No,28,12743,3,1,2,No,18,80,,
No,28,12745,3,1,2,No,18,80,,
No,28,12747,3,1,2,No,18,80,,
No,28,12748,3,1,2,No,18,80,,
No,28,12768,3,1,2,No,18,80,,
No,28,12770,3,1,2,No,18,80,,
No,3,12773,2,0,4,No,17,80,,
No,3,12774,2,0,4,No,17,80,,
No,3,12776,2,0,4,No,17,80,,
No,3,12778,2,0,4,No,17,80,,
No,3,12781,2,0,4,No,17,80,,
No,3,12782,2,0,4,No,17,80,,
No,3,12879,2,0,4,No,17,80,,
No,3,12882,2,0,4,No,17,80,,
No,19,12883,4,5,6,Yes,15,80,,
No,19,12884,4,5,6,Yes,15,80,,
No,19,12887,4,5,6,Yes,15,80,,
No,19,12890,4,5,6,Yes,15,80,,
No,19,12891,4,5,6,Yes,15,80,,
No,19,12892,4,5,6,Yes,15,80,,
No,19,13103,4,5,6,Yes,15,80,,
No,19,13104,4,5,6,Yes,15,80,,
No,3,13106,3,0,0,No,17,80,,
No,3,13107,3,0,0,No,17,80,,
No,3,13111,3,0,0,No,17,80,,
No,3,13112,3,0,0,No,17,80,,
No,3,13114,3,0,0,No,17,80,,
No,3,13115,3,0,0,No,17,80,,
No,3,13182,3,0,0,No,17,80,,
No,3,13184,3,0,0,No,17,80,,
No,1,13188,3,0,9,No,20,80,,
No,1,13189,3,0,9,No,20,80,,
No,1,13190,3,0,9,No,20,80,,
No,1,13192,3,0,9,No,20,80,,
No,1,13196,3,0,9,No,20,80,,
No,1,13197,3,0,9,No,20,80,,
No,1,13278,3,0,9,No,20,80,,
No,1,13279,3,0,9,No,20,80,,
No,2,13283,2,0,2,No,11,80,,
No,2,13284,2,0,2,No,11,80,,
No,2,13286,2,0,2,No,11,80,,
No,2,13287,2,0,2,No,11,80,,
No,2,13291,2,0,2,No,11,80,,
No,2,13292,2,0,2,No,11,80,,
No,2,12686,2,0,2,No,11,80,,
No,2,13375,2,0,2,No,11,80,,
No,5,13377,3,0,0,No,12,80,,
No,5,13378,3,0,0,No,12,80,,
No,5,13381,3,0,0,No,12,80,,
No,5,13383,3,0,0,No,12,80,,
No,5,13385,3,0,0,No,12,80,,
No,5,13386,3,0,0,No,12,80,,
No,5,13580,3,0,0,No,12,80,,
No,5,13582,3,0,0,No,12,80,,
No,9,13586,2,1,3,No,20,80,,
No,9,13587,2,1,3,No,20,80,,
No,9,13588,2,1,3,No,20,80,,
No,9,13590,2,1,3,No,20,80,,
No,9,13594,2,1,3,No,20,80,,
No,9,13595,2,1,3,No,20,80,,
No,9,13597,2,1,3,No,20,80,,
No,9,13599,2,1,3,No,20,80,,
No,1,13600,3,4,9,No,20,80,,
No,1,13601,3,4,9,No,20,80,,
No,1,13605,3,4,9,No,20,80,,
No,1,13607,3,4,9,No,20,80,,
No,1,13608,3,4,9,No,20,80,,
No,1,13609,3,4,9,No,20,80,,
No,1,13785,3,4,9,No,20,80,,
No,1,13787,3,4,9,No,20,80,,
No,27,13790,4,2,2,No,13,80,,
No,27,13791,4,2,2,No,13,80,,
No,27,13793,4,2,2,No,13,80,,
No,27,13795,4,2,2,No,13,80,,
No,27,13798,4,2,2,No,13,80,,
No,27,13799,4,2,2,No,13,80,,
No,27,14510,4,2,2,No,13,80,,
No,27,14513,4,2,2,No,13,80,,
No,10,14514,3,0,0,Yes,11,80,,
No,10,14515,3,0,0,Yes,11,80,,
No,10,14518,3,0,0,Yes,11,80,,
No,10,14521,3,0,0,Yes,11,80,,
No,10,14522,3,0,0,Yes,11,80,,
No,10,14523,3,0,0,Yes,11,80,,
No,10,14689,3,0,0,Yes,11,80,,
No,10,14691,3,0,0,Yes,11,80,,
No,20,14693,2,0,0,No,17,80,,
No,20,14694,2,0,0,No,17,80,,
No,20,14697,2,0,0,No,17,80,,
No,20,14699,2,0,0,No,17,80,,
No,20,14701,2,0,0,No,17,80,,
No,20,14702,2,0,0,No,17,80,,
No,20,14737,2,0,0,No,17,80,,
No,20,14740,2,0,0,No,17,80,,
No,2,14743,3,0,2,Yes,12,80,,
No,2,14744,3,0,2,Yes,12,80,,
No,2,14745,3,0,2,Yes,12,80,,
No,2,14748,3,0,2,Yes,12,80,,
No,2,14751,3,0,2,Yes,12,80,,
No,2,14752,3,0,2,Yes,12,80,,
No,2,14784,3,0,2,Yes,12,80,,
No,2,14787,3,0,2,Yes,12,80,,
No,19,14788,4,5,10,No,13,80,,
No,19,14789,4,5,10,No,13,80,,
No,19,14792,4,5,10,No,13,80,,
No,19,14795,4,5,10,No,13,80,,
No,19,14796,4,5,10,No,13,80,,
No,19,14797,4,5,10,No,13,80,,
No,19,15349,4,5,10,No,13,80,,
No,19,15352,4,5,10,No,13,80,,
No,11,15355,4,1,8,No,11,80,,
No,11,15356,4,1,8,No,11,80,,
No,11,15357,4,1,8,No,11,80,,
No,11,15360,4,1,8,No,11,80,,
No,11,15363,4,1,8,No,11,80,,
No,11,15364,4,1,8,No,11,80,,
No,11,15430,4,1,8,No,11,80,,
No,11,15432,4,1,8,No,11,80,,
No,9,15433,2,1,6,No,11,80,,
No,9,15434,2,1,6,No,11,80,,
No,9,15438,2,1,6,No,11,80,,
No,9,15440,2,1,6,No,11,80,,
No,9,15441,2,1,6,No,11,80,,
No,9,15442,2,1,6,No,11,80,,
No,9,15445,2,1,6,No,11,80,,
No,9,15447,2,1,6,No,11,80,,
No,9,15449,3,1,7,No,15,80,,
No,9,15450,3,1,7,No,15,80,,
No,9,15453,3,1,7,No,15,80,,
No,9,15455,3,1,7,No,15,80,,
No,9,15457,3,1,7,No,15,80,,
No,9,15458,3,1,7,No,15,80,,
No,9,15493,3,1,7,No,15,80,,
No,9,15495,3,1,7,No,15,80,,
No,15,15496,4,9,6,No,12,80,,
No,15,15497,4,9,6,No,12,80,,
No,15,15501,4,9,6,No,12,80,,
No,15,15503,4,9,6,No,12,80,,
No,15,15504,4,9,6,No,12,80,,
No,15,15505,4,9,6,No,12,80,,
No,15,15649,4,9,6,No,12,80,,
No,15,15651,4,9,6,No,12,80,,
No,8,15655,3,0,3,No,22,80,,
No,8,15656,3,0,3,No,22,80,,
No,8,15657,3,0,3,No,22,80,,
No,8,15659,3,0,3,No,22,80,,
No,8,15663,3,0,3,No,22,80,,
No,8,15664,3,0,3,No,22,80,,
No,8,15681,3,0,3,No,22,80,,
No,8,15682,3,0,3,No,22,80,,
No,26,15683,3,0,0,No,20,80,,
No,26,15684,3,0,0,No,20,80,,
No,26,15685,3,0,0,No,20,80,,
No,26,15686,3,0,0,No,20,80,,
No,26,15687,3,0,0,No,20,80,,
No,26,15688,3,0,0,No,20,80,,
No,26,15689,3,0,0,No,20,80,,
No,26,15690,3,0,0,No,20,80,,
No,29,15691,3,7,7,No,13,80,,
No,2,15692,3,7,7,No,13,80,,
No,2,15693,3,7,7,No,13,80,,
No,29,15694,3,7,7,No,13,80,,
No,29,15695,3,7,7,No,13,80,,
No,2,15696,3,7,7,No,13,80,,
No,2,15743,3,7,7,No,13,80,,
No,29,15745,3,7,7,No,13,80,,
No,29,15749,3,7,7,No,13,80,,
No,2,15750,3,7,7,No,13,80,,
No,2,15751,3,7,7,No,13,80,,
No,29,15753,3,7,7,No,13,80,,
No,29,15757,3,7,7,No,13,80,,
No,2,15758,3,7,7,No,13,80,,
No,2,16246,3,7,7,No,13,80,,
No,29,16248,3,7,7,No,13,80,,
No,2,16250,4,4,11,No,11,80,,
No,2,16251,4,4,11,No,11,80,,
No,2,16254,4,4,11,No,11,80,,
No,2,16256,4,4,11,No,11,80,,
No,2,16258,4,4,11,No,11,80,,
No,2,16259,4,4,11,No,11,80,,
No,2,16437,4,4,11,No,11,80,,
No,2,16439,4,4,11,No,11,80,,
No,1,16441,3,1,3,No,14,80,,
No,1,16442,3,1,3,No,14,80,,
No,1,16445,3,1,3,No,14,80,,
No,1,16447,3,1,3,No,14,80,,
No,1,16449,3,1,3,No,14,80,,
No,1,16450,3,1,3,No,14,80,,
No,1,16776,3,1,3,No,14,80,,
No,1,16779,3,1,3,No,14,80,,
No,1,16780,2,0,2,No,17,80,,
No,1,16781,2,0,2,No,17,80,,
No,1,16784,2,0,2,No,17,80,,
No,1,16787,2,0,2,No,17,80,,
No,1,16788,2,0,2,No,17,80,,
No,1,16789,2,0,2,No,17,80,,
No,1,16887,2,0,2,No,17,80,,
No,1,16890,2,0,2,No,17,80,,
No,3,16893,3,3,12,No,18,80,,
No,3,16894,3,3,12,No,18,80,,
No,3,16895,3,3,12,No,18,80,,
No,3,16898,3,3,12,No,18,80,,
No,3,16901,3,3,12,No,18,80,,
No,3,16902,3,3,12,No,18,80,,
No,3,17014,3,3,12,No,18,80,,
No,3,17015,3,3,12,No,18,80,,
No,15,17019,2,6,9,No,14,80,,
No,15,17020,2,6,9,No,14,80,,
No,15,17022,2,6,9,No,14,80,,
No,15,17023,2,6,9,No,14,80,,
No,15,17027,2,6,9,No,14,80,,
No,15,17028,2,6,9,No,14,80,,
No,15,17305,2,6,9,No,14,80,,
No,15,17307,2,6,9,No,14,80,,
No,1,17308,3,0,4,No,14,80,,
No,1,17309,3,0,4,No,14,80,,
No,1,17313,3,0,4,No,14,80,,
No,1,17315,3,0,4,No,14,80,,
No,1,17316,3,0,4,No,14,80,,
No,1,17317,3,0,4,No,14,80,,
No,1,17352,3,0,4,No,14,80,,
No,1,17354,3,0,4,No,14,80,,
No,19,17356,1,3,3,No,19,80,,
No,19,17357,1,3,3,No,19,80,,
No,19,17360,1,3,3,No,19,80,,
No,19,17362,1,3,3,No,19,80,,
No,19,17364,1,3,3,No,19,80,,
No,19,17365,3,1,4,Yes,24,80,,
No,19,17400,1,3,3,No,19,80,,
No,19,17403,1,3,3,No,19,80,,
No,1,17406,3,8,6,Yes,14,80,,
No,1,17407,3,8,6,Yes,14,80,,
No,1,17408,3,8,6,Yes,14,80,,
No,1,17411,3,8,6,Yes,14,80,,
No,1,17414,3,8,6,Yes,14,80,,
No,1,17415,3,8,6,Yes,14,80,,
No,1,17526,3,8,6,Yes,14,80,,
No,1,17527,3,8,6,Yes,14,80,,
No,7,17531,3,5,7,Yes,25,80,,
No,7,17532,3,5,7,Yes,25,80,,
No,7,17534,3,5,7,Yes,25,80,,
No,7,17535,3,5,7,Yes,25,80,,
No,7,17539,3,5,7,Yes,25,80,,
No,7,17540,3,5,7,Yes,25,80,,
No,7,17621,3,5,7,Yes,25,80,,
No,7,17623,3,5,7,Yes,25,80,,
No,15,17626,3,5,7,Yes,12,80,,
